sym,avg_vol
AJG,0.2847361566162109
DG,0.28427839752197265
CLX,0.283912190246582
ADM,0.28247787841796873
EXC,0.282233740234375
RSG,0.2819896020507812
PGR,0.27826649475097653
V,0.27817494293212885
AWK,0.27747304565429687
NKE,0.2769237347412109
AMGN,0.2768321829223632
FOX,0.2749045947265626
BLK,0.2744060597229004
DHR,0.2731395928955078
PNW,0.2728344201660156
HST,0.27148666015625006
MRK,0.270515107421875
TMO,0.2695995892333984
ABT,0.26758544921875
WMT,0.26752441467285154
PM,0.26734131103515624
NDAQ,0.2667309655761719
CMS,0.2664868273925781
NEE,0.264930446472168
DRE,0.26428458374023445
MCD,0.2625195819091797
LKQ,0.2622094091796875
MDLZ,0.2611157873535156
HRL,0.2600171655273438
NTAP,0.26001216552734374
ORCL,0.25952888916015626
XEL,0.25696543823242185
PCAR,0.2557447473144532
CXO,0.25573974731445315
ICE,0.2540357800292969
ED,0.2515943981933594
FAST,0.25049577636718745
CAG,0.2501295690917969
PFG,0.24853767089843753
SJM,0.24787129089355467
TDG,0.24692025543212892
D,0.24665059997558597
WM,0.2456130126953125
T,0.24390404541015626
WEC,0.24335473449707032
SO,0.2410964562988281
K,0.24073024902343748
COF,0.2405421453857422
MKC,0.2378311080932617
ACN,0.2378005908203125
HLT,0.2358424853515625
BIIB,0.233050154876709
GIS,0.23273472351074215
IBM,0.22968299621582028
AMCR,0.22949489257812503
CL,0.22895058166503907
ETFC,0.22803006347656252
BWA,0.22680937255859374
KO,0.22241988525390624
GL,0.21887488159179688
MCK,0.21838660522460937
PSX,0.2182645361328125
EA,0.21734901794433598
PG,0.2155840161132812
ANET,0.21423625610351563
JNJ,0.21302056518554685
AEP,0.2127764270019531
ADSK,0.21136763244628903
COST,0.2101366828918457
AMAT,0.20654590332031247
DUK,0.20423159057617185
IEX,0.20401296966552734
CF,0.1992217578125
WMB,0.1967803759765625
PEP,0.19385571777343746
VZ,0.19153640502929686
EFX,0.19147037048339843
WLTW,0.19134830139160153
SWKS,0.18805243591308596
EL,0.18774726318359375
AKAM,0.1835969140625
NTRS,0.17859208129882811
MTD,0.17849027084350585
FISV,0.17822587402343748
ADI,0.1774934594726562
CTSH,0.17712725219726558
INTC,0.17346517944335935
TIF,0.17261069580078126
CTAS,0.1657137921142578
INFO,0.16363861755371095
SPGI,0.16315034118652344
GILD,0.15893895751953124
ADP,0.1572910247802734
CPB,0.14404652832031245
AON,0.1303747900390625
KMB,0.1277808218383789
BAX,0.12701789001464847
LNT,0.12573616455078124
HSY,0.11206442626953123
FE,0.0
MCHP,0.0
